"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length"
1247,2020,"CA","USF","ANF","RANCH2","00003289","2020/08/13 00:00:00+00","2020/10/01 00:00:00+00",14,7,1,4119.205,"LACO # 241258","","{D3F5D9A5-75C8-4650-87CD-9C3E1051802D}","","",2020,24427703.4960938,36629.8506997617
1248,2020,"CA","USF","CNF","VALLEY","00002833","2020/09/05 00:00:00+00","2020/09/24 00:00:00+00",14,3,1,16389.54,"","","{A55E40C0-7692-40CD-95ED-113D7936B7F7}","","",2020,94002681.0507812,112779.788219773
1267,2020,"CA","CDF","RRU","SNOW","00119353","2020/09/17 00:00:00+00","2020/09/24 00:00:00+00",10,2,1,6253.439,"","","{FFCB89F5-98FB-4C3A-9554-3D1554181A63}","","",2020,36805044.7929688,48686.0783056112
1272,2020,"CA","USF","MNF","AUGUST COMPLEX","00000753","2020/08/16 00:00:00+00","2020/11/11 00:00:00+00",1,3,1,1032700,"","AUGUST COMPLEX","{EE343B88-0ADB-4C25-B744-6B4CE9DCC6DA}","","",2020,7116307899.93359,1695542.55514706
1274,2020,"CA","CDF","LMU","HOG","00003874","2020/07/18 00:00:00+00","2020/08/28 00:00:00+00",14,7,1,9566.36,"","","{795DCBB1-F228-4F7B-9C92-14999DC4B397}","","",2020,66866941.3085938,85678.3440425632
1277,2020,"CA","USF","SRF","RED SALMON COMPLEX","00000656","2020/07/27 00:00:00+00","2020/11/19 00:00:00+00",1,8,1,143836.4,"","RED SALMON COMPLEX","{843FC86F-D6D2-4E49-93EA-96F6B0720C3D}","","",2020,1026602327.16406,464942.017886169
1284,2020,"CA","NPS","YNP","BLUEJAY","00000054","2020/07/25 00:00:00+00","2020/11/19 00:00:00+00",1,7,2,6922.014,"","","{9D6C7514-519B-44A6-BB26-9B61B2F176F2}","","",2020,44992207.9921875,55875.1320954336
1285,2020,"CA","NPS","BNP","CALDWELL","00000479","2020/07/22 00:00:00+00","2020/09/01 00:00:00+00",1,7,1,81224.68," ","JULY COMPLEX","{29649803-B9D9-4F8D-9A38-A0CDDC6FD2D2}","","000486",2020,590731985.53125,236072.50028657
1286,2020,"CA","NPS","MNP","DOME","00012356","2020/08/15 00:00:00+00","2020/09/12 00:00:00+00",1,8,1,44211.25,"Auto-generated by EGP-IRWIN","","{60146AC0-3AC8-462B-AC80-60D31F1B4D96}","","",2020,269171466.558594,94295.1392436566
1288,2020,"CA","NPS","MNP","IVANPAH","00009202","2020/06/22 00:00:00+00","2020/06/26 00:00:00+00",8,8,1,1051.485,"Auto-generated by EGP-IRWIN","","{67C8B36C-AF0E-488C-AF84-765AAD6B9D9E}","","",2020,6385724.96484375,12295.6386609878
1289,2020,"CA","NPS","KNP","MORAINE","00000091","2020/08/21 00:00:00+00","2020/12/29 00:00:00+00",1,2,1,1316.038," ","","{E2D7ECC4-10C8-433C-AD14-6A7AB77D2B75}","","",2020,8306597.44140625,15529.4774084043
1291,2020,"CA","NPS","KNP","RATTLESNAKE","00000080","2020/08/16 00:00:00+00","2020/12/28 00:00:00+00",1,7,2,8422.869,"estimate based on satellite heat since 21 NOV","","{82728166-E47A-49A5-94F6-49B65894EECD}","","",2020,52760004.859375,142312.836653703
1292,2020,"CA","NPS","CNP","SCORPION","00001216","2020/05/31 00:00:00+00","2020/06/05 00:00:00+00",2,1,1,1320.728," ","","{84EB3715-5649-43F0-BC29-B4767EB649A4}","","",2020,7802740.03125,28437.0637650225
1293,2020,"CA","NPS","YNP","WOLF","00000075","2020/08/10 00:00:00+00","2020/11/19 00:00:00+00",1,7,2,2057.296," ","","{DD23418F-7040-439F-8024-1441931BA3F0}","","",2020,13386476.6289062,23606.287726161
1294,2020,"CA","NPS","RNP","WOODWARD","00012009","2020/08/18 00:00:00+00","2020/11/20 00:00:00+00",1,7,1,4901.727," ","","{D8BCD0D3-AC7A-40AD-8A14-C34E29BD4126}","","",2020,32017438.9296875,38442.9932829375
1297,2020,"CA","BLM","CCD","BACCARAT","00030788","2020/10/04 00:00:00+00","2020/10/11 00:00:00+00",14,2,1,10456.4,"","","{A3E0E911-3411-46A6-8928-97727DB86BB9}","","",2020,71729594.3398438,48876.5190937764
1303,2020,"CA","BLM","NOD","LAURA 2","00006431","2020/11/17 00:00:00+00","2020/11/23 00:00:00+00",14,7,1,2729.027,"","","{640FD5AB-A721-41FB-97AF-64D45210D561}","","",2020,18876446.0703125,54526.1905550332
1304,2020,"CA","BLM","CND","MOUNTAIN VIEW","00030860","2020/11/17 00:00:00+00","2020/11/30 00:00:00+00",14,2,1,20374.56,"","","{54D7D11C-04DF-418A-9D22-9249FF56A4B8}","","",2020,135042607.617188,71386.5560468165
1305,2020,"CA","BLM","CDD","NADEAU","00011339","2020/07/29 00:00:00+00","2020/08/04 00:00:00+00",14,7,1,9150.402,"","","{DE1057CC-F14B-4352-B80D-75C93219E9ED}","","",2020,56715274.2460938,81985.6084495531
1306,2020,"CA","BLM","CCD","NORTH","00030547","2020/08/02 00:00:00+00","2020/08/10 00:00:00+00",10,7,1,6882.293,"","","{CD8D2F6A-BA50-43CF-A62F-894091D839CC}","","",2020,47310873.328125,55841.2880832609
1315,2020,"CA","USF","HTF","SLINK","00030684","2020/08/29 00:00:00+00","2020/11/13 00:00:00+00",14,7,1,26751.78,"","","{4DE3802A-339C-4F3D-BD9A-61D55E9D2AA5}","","",2020,177137743.015625,120615.447580124
1319,2020,"CA","BLM","NOD","W-5 COLD SPRINGS","00004727","2020/08/18 00:00:00+00","2020/09/13 00:00:00+00",1,7,1,84817.6,"","","{0AFEBC32-36EE-4FA8-AEC5-419C9C6BA51D}","","",2020,604907699.953125,218761.343479062
1332,2020,"CA","DOD","MCP","CREEK 5","00020846","2021/12/30 00:00:00+00","2021/12/31 00:00:00+00",14,8,1,3052.173,"","","","","",2020,17761235.515625,30411.7942165506
1333,2020,"CA","USF","BDF","EL DORADO","00012925","2020/09/05 00:00:00+00","2020/11/16 00:00:00+00",14,2,1,22503.71,"","","","","",2020,133129603.984375,116688.840093464
1402,2020,"CA","CDF","LMU","GOLD","00003917","2020/07/20 00:00:00+00","2020/10/29 00:00:00+00",14,7,1,22652.56," ","","{E180DEC7-DA19-459B-9727-B2AE2C2BE0DE}","","",2020,161406943.257812,129127.785644767
1476,2020,"CA","CDF","RRU","APPLE","00996640","2020/07/31 00:00:00+00","2020/11/15 00:00:00+00",2,1,1,33235.8,"","","{92EB6A48-F988-48C5-BE65-EB3140DC6E27}","","",2020,196302156.757812,153641.745740402
1484,2019,"CA","CCO","VNC","MARIA","00090135","2019/10/31 00:00:00+00","2019/11/05 00:00:00+00",14,7,1,10042.46,"Maria IMT, 11/3/2019 2130hrs","","{A62F7CDE-CCBA-44B9-8F10-EEE18946A218}","","",2010,59718543.7578125,66055.5952608772
1485,2019,"CA","CCO","VNC","EASY","00089158","2019/10/30 00:00:00+00","2019/11/13 00:00:00+00",14,7,1,1806.234,"multiple perimeters","","{FC96A780-3096-487F-97EB-69D6CB7DC33E}","","",2010,10729257.6679688,30918.4361655625
1508,2019,"CA","CDF","LNU","KINCADE","00019376","2019/10/23 00:00:00+00","2019/11/10 00:00:00+00",11,1,1,77762.14,"","","{FE8285DB-86DE-4F8C-B54E-3FE4A9F2182A}","","",2010,517112590.625,238568.85640898
1514,2019,"CA","CDF","LNU","SAND","00009880","2019/06/08 00:00:00+00","2019/06/13 00:00:00+00",1,2,1,2422.018," ","","{531392A4-947E-4C00-A43E-188F93D7F37D}","","",2010,16208267.4921875,29141.5665393798
1571,2019,"CA","CDF","BEU","LONOAK","00003696","2019/06/25 00:00:00+00","2019/06/25 00:00:00+00",11,2,1,2520.879,"","","{EDEA7D75-AFD3-460B-B5BF-3AAD08899DBE}","","",2010,15702125.4257812,23366.1482910104
1595,2019,"CA","CDF","TGU","RANCH","00011766","2019/11/03 00:00:00+00","2019/11/14 00:00:00+00",14,7,1,2534.211,"Under Investigation","","{F79A7B97-0262-4807-8BB9-9A4F0B3CDA00}","","",2010,17525519.4296875,24232.1809257093
1596,2019,"CA","CDF","TGU","RED BANK","00009386","2019/09/05 00:00:00+00","2019/09/15 00:00:00+00",1,7,1,8822.024,"","","{CC70F3A6-0402-4CAC-9054-8B160525E251}","","",2010,61191653.421875,59558.6408065724
1614,2019,"CA","CDF","RRU","SANDALWOOD","00130233","2019/10/10 00:00:00+00","2019/10/14 00:00:00+00",14,1,1,1008.193,"","","{2ABFE1D2-64B3-44FE-BF31-B85CD7BD49A7}","","",2010,5951083.3828125,15200.9404035775
1615,2019,"CA","CDF","RRU","TENAJA","00113828","2019/09/04 00:00:00+00","2019/09/14 00:00:00+00",1,1,1,1939.536," ","","{12D435C8-627E-438F-994A-1105E5DBB56F}","","",2010,11329899.3710938,21954.6475851796
1627,2019,"CA","CDF","SCU","ROCK","00004384","2019/06/26 00:00:00+00","2019/06/30 00:00:00+00",14,2,1,2233.891,"","","{02F5A6D9-30E9-4B60-9583-6081C60C4955}","","",2010,14379072.9453125,19459.6528092953
1647,2019,"CA","CDF","MMU","BRICEBURG","00021257","2019/10/06 00:00:00+00","2019/10/20 00:00:00+00",10,7,1,5508.35,"IR Heat Perimeter with some corrections from GPS","","{D4EDE3C9-5907-45CD-ACBE-7791D43197C8}","","",2010,35579063.5976562,32223.6346457514
1654,2019,"CA","CDF","SLU","BOULDER","00007315","2019/06/05 00:00:00+00","2019/06/05 00:00:00+00",11,6,1,1110.843,"Bird into powerline","","{C2B85F5F-CB24-4BF2-8480-CD2D8375AD87}","","",2010,6767755.3203125,20338.2759374156
